system:index,L8,SA,SE,L7
LC08_222079_20150608_0,15128,33.942245,31.418018,14310.0
LC08_222079_20150608_1,20518,33.942245,31.418018,19101.0
LC08_222079_20150608_2,15409,33.942245,31.418018,15012.0
LC08_222079_20150608_3,16070,33.942245,31.418018,15003.0
LC08_222079_20150608_4,15247,33.942245,31.418018,15012.0
LC08_222079_20150608_5,14530,33.942245,31.418018,13690.0
LC08_222079_20150608_6,20160,33.942245,31.418018,18952.0
LC08_222079_20150608_7,19691,33.942245,31.418018,18684.5
LC08_222079_20150608_8,15962,33.942245,31.418018,17820.5
LC08_222079_20150608_9,18061,33.942245,31.418018,17365.0
LC08_222079_20150608_10,14728,33.942245,31.418018,14138.0
LC08_222079_20150608_11,16877,33.942245,31.418018,15677.0
LC08_222079_20150608_12,17885,33.942245,31.418018,16774.0
LC08_222079_20150608_13,22258,33.942245,31.418018,20506.0
LC08_222079_20150608_14,20301,33.942245,31.418018,18117.0
LC08_222079_20150608_15,26536,33.942245,31.418018,23603.0
LC08_222079_20150608_16,16749,33.942245,31.418018,16149.0
LC08_222079_20150608_17,18100,33.942245,31.418018,17297.0
LC08_222079_20150608_18,12412,33.942245,31.418018,11299.0
LC08_222079_20150608_19,16844,33.942245,31.418018,15944.0
LC08_222079_20150608_20,15301,33.942245,31.418018,14867.0
LC08_222079_20150608_21,18761,33.942245,31.418018,16829.0
LC08_222079_20150608_22,16330,33.942245,31.418018,15537.0
LC08_222079_20150608_23,13647,33.942245,31.418018,12435.0
LC08_222079_20150608_24,10906,33.942245,31.418018,11849.0
LC08_222079_20150608_25,19440,33.942245,31.418018,19620.0
LC08_222079_20150608_26,20941,33.942245,31.418018,18039.0
LC08_222079_20150608_27,17422,33.942245,31.418018,17815.0
LC08_222079_20150608_28,17121,33.942245,31.418018,16905.0
LC08_222079_20150608_29,15255,33.942245,31.418018,15301.0
LC08_222079_20150608_30,14637,33.942245,31.418018,14161.0
LC08_222079_20150608_31,16363,33.942245,31.418018,17132.0
LC08_222079_20150608_32,16005,33.942245,31.418018,16247.0
LC08_222079_20150608_33,15716,33.942245,31.418018,15455.0
LC08_222079_20150608_34,23487,33.942245,31.418018,22039.0
LC08_222079_20150608_35,13257,33.942245,31.418018,14391.0
LC08_222079_20150608_36,18954,33.942245,31.418018,17689.0
LC08_222079_20150608_37,16555,33.942245,31.418018,15500.0
LC08_222079_20150608_38,16312,33.942245,31.418018,17106.0
LC08_222079_20150608_39,14272,33.942245,31.418018,14627.0
LC08_222079_20150608_40,10949,33.942245,31.418018,10495.0
LC08_222079_20150608_41,10550,33.942245,31.418018,10726.0
LC08_222079_20150608_42,16605,33.942245,31.418018,16017.0
LC08_222079_20150608_43,15135,33.942245,31.418018,14630.0
LC08_222079_20150608_44,24416,33.942245,31.418018,23677.0
LC08_222079_20150608_45,16517,33.942245,31.418018,15320.0
LC08_222079_20150608_46,15802,33.942245,31.418018,15104.0
LC08_222079_20150608_47,12577,33.942245,31.418018,12001.0
LC08_222079_20150608_48,13315,33.942245,31.418018,14002.0
LC08_222079_20150608_49,7505,33.942245,31.418018,7943.0
LC08_222079_20150608_50,20731,33.942245,31.418018,19930.0
LC08_222079_20150608_51,24108,33.942245,31.418018,23739.0
LC08_222079_20150608_52,14464,33.942245,31.418018,15607.0
LC08_222079_20150608_53,15893,33.942245,31.418018,16086.0
LC08_222079_20150608_54,14987,33.942245,31.418018,16286.0
LC08_222079_20150608_55,15385,33.942245,31.418018,15167.0
LC08_222079_20150608_56,17096,33.942245,31.418018,17238.0
LC08_222079_20150608_57,13724,33.942245,31.418018,13078.0
LC08_222079_20150608_58,17323,33.942245,31.418018,16764.0
LC08_222079_20150608_59,24592,33.942245,31.418018,23589.0
LC08_222079_20150608_60,16888,33.942245,31.418018,16739.0
LC08_222079_20150608_61,21161,33.942245,31.418018,19670.0
LC08_222079_20150608_62,14901,33.942245,31.418018,14753.0
LC08_222079_20150608_63,12969,33.942245,31.418018,12507.0
LC08_222079_20150608_64,20777,33.942245,31.418018,18567.0
LC08_222079_20150608_65,15609,33.942245,31.418018,14982.0
LC08_222079_20150608_66,14139,33.942245,31.418018,14300.0
LC08_222079_20150608_67,18636,33.942245,31.418018,19005.0
LC08_222079_20150608_68,9125,33.942245,31.418018,10791.0
LC08_222079_20150608_69,17022,33.942245,31.418018,16231.0
LC08_222079_20150608_70,17561,33.942245,31.418018,15597.0
LC08_222079_20150608_71,14629,33.942245,31.418018,13592.0
LC08_222079_20150608_72,20570,33.942245,31.418018,18281.0
LC08_222079_20150608_73,22236,33.942245,31.418018,20508.0
LC08_222079_20150608_74,11912,33.942245,31.418018,12711.0
LC08_222079_20150608_75,18772,33.942245,31.418018,17205.0
LC08_222079_20150608_76,13580,33.942245,31.418018,13391.0
LC08_222079_20150608_77,20758,33.942245,31.418018,19218.0
LC08_222079_20150608_78,18319,33.942245,31.418018,16989.0
LC08_222079_20150608_79,14107,33.942245,31.418018,14247.0
LC08_222079_20150608_80,15436,33.942245,31.418018,15184.0
LC08_222079_20150608_81,19190,33.942245,31.418018,19135.0
LC08_222079_20150608_82,18113,33.942245,31.418018,18143.0
LC08_222079_20150608_83,24822,33.942245,31.418018,22796.0
LC08_222079_20150608_84,19845,33.942245,31.418018,18429.0
LC08_222079_20150608_85,17698,33.942245,31.418018,17247.0
LC08_222079_20150608_86,15664,33.942245,31.418018,15177.0
LC08_222079_20150608_87,23401,33.942245,31.418018,22639.0
LC08_222079_20150608_88,16613,33.942245,31.418018,16331.0
LC08_222079_20150608_89,10948,33.942245,31.418018,11477.0
LC08_222079_20150608_90,17339,33.942245,31.418018,16586.0
LC08_222079_20150608_91,15998,33.942245,31.418018,15893.0
LC08_222079_20150608_92,18398,33.942245,31.418018,18463.0
LC08_222079_20150608_93,15116,33.942245,31.418018,14946.0
LC08_222079_20150608_94,15376,33.942245,31.418018,15173.0
LC08_222079_20150608_95,14514,33.942245,31.418018,15225.0
LC08_222079_20150608_96,18482,33.942245,31.418018,18449.0
LC08_222079_20150608_97,15860,33.942245,31.418018,15616.0
LC08_222079_20150608_98,10281,33.942245,31.418018,10432.0
LC08_222079_20150608_99,15514,33.942245,31.418018,14426.0
LC08_222079_20150608_100,18486,33.942245,31.418018,18200.0
LC08_222079_20150608_101,15688,33.942245,31.418018,14654.0
LC08_222079_20150608_102,22750,33.942245,31.418018,21751.0
LC08_222079_20150608_103,14364,33.942245,31.418018,14223.0
LC08_222079_20150608_104,15855,33.942245,31.418018,14921.0
LC08_222079_20150608_105,9381,33.942245,31.418018,10224.0
LC08_222079_20150608_106,25908,33.942245,31.418018,24843.0
LC08_222079_20150608_107,17786,33.942245,31.418018,16694.0
LC08_222079_20150608_108,15855,33.942245,31.418018,15136.0
LC08_222079_20150608_109,18836,33.942245,31.418018,16926.0
LC08_222079_20150608_110,14030,33.942245,31.418018,14466.0
LC08_222079_20150608_111,15067,33.942245,31.418018,13635.0
LC08_222079_20150608_112,22419,33.942245,31.418018,22803.0
LC08_222079_20150608_113,15205,33.942245,31.418018,15286.0
LC08_222079_20150608_114,15023,33.942245,31.418018,14582.0
LC08_222079_20150608_115,21573,33.942245,31.418018,21498.0
LC08_222079_20150608_116,21652,33.942245,31.418018,21502.0
LC08_222079_20150608_117,20159,33.942245,31.418018,20693.0
LC08_222079_20150608_118,19556,33.942245,31.418018,18722.5
LC08_222079_20150608_119,24705,33.942245,31.418018,23652.0
LC08_222079_20150608_120,18330,33.942245,31.418018,18455.0
LC08_222079_20150608_121,18028,33.942245,31.418018,16951.0
LC08_222079_20150608_122,16635,33.942245,31.418018,17092.5
LC08_222079_20150608_123,20109,33.942245,31.418018,20574.0
LC08_222079_20150608_124,13057,33.942245,31.418018,14788.0
LC08_222079_20150608_125,20860,33.942245,31.418018,20496.0
LC08_222079_20150608_126,18690,33.942245,31.418018,18535.0
LC08_222079_20150608_127,17618,33.942245,31.418018,17715.5
LC08_222079_20150608_128,15127,33.942245,31.418018,15209.5
LC08_222079_20150608_129,18290,33.942245,31.418018,18024.0
LC08_222079_20150608_130,15787,33.942245,31.418018,16542.5
LC08_222079_20150608_131,14031,33.942245,31.418018,15440.0
LC08_222079_20150608_132,17659,33.942245,31.418018,17310.0
LC08_222080_20150608_0,17387,33.70777,30.092333,16927.0
LC08_222080_20150608_1,19700,33.70777,30.092333,19118.0
LC08_222080_20150608_2,19854,33.70777,30.092333,18654.0
LC08_222080_20150608_3,17060,33.70777,30.092333,16042.0
LC08_222080_20150608_4,21844,33.70777,30.092333,20711.0
LC08_222080_20150608_5,20239,33.70777,30.092333,20376.5
LC08_222080_20150608_6,16738,33.70777,30.092333,17272.0
LC08_222080_20150608_7,17538,33.70777,30.092333,17135.0
LC08_222080_20150608_8,16705,33.70777,30.092333,17780.0
LC08_222080_20150608_9,26063,33.70777,30.092333,26116.0
LC08_222080_20150608_10,24379,33.70777,30.092333,24729.5
LC08_222080_20150608_11,24551,33.70777,30.092333,12988.0
LC08_222080_20150608_12,18643,33.70777,30.092333,18986.0
LC08_222080_20150608_13,17278,33.70777,30.092333,17723.0
LC08_222080_20150608_14,13925,33.70777,30.092333,11734.0
LC08_222080_20150608_15,17734,33.70777,30.092333,20301.0
LC08_222080_20150608_16,11253,33.70777,30.092333,12430.0
LC08_222080_20150608_17,21671,33.70777,30.092333,22121.0
LC08_222080_20150608_18,14495,33.70777,30.092333,11965.0
LC08_222080_20150608_19,14861,33.70777,30.092333,13825.0
LC08_222080_20150608_20,18825,33.70777,30.092333,18043.0
LC08_222080_20150608_21,17184,33.70777,30.092333,16384.0
LC08_222080_20150608_22,19687,33.70777,30.092333,18975.0
LC08_222080_20150608_23,21310,33.70777,30.092333,20625.0
LC08_222080_20150608_24,16105,33.70777,30.092333,14155.0
LC08_222080_20150608_25,18122,33.70777,30.092333,18152.0
LC08_222080_20150608_26,25752,33.70777,30.092333,24528.0
LC08_222080_20150608_27,17694,33.70777,30.092333,16662.0
LC08_222080_20150608_28,12971,33.70777,30.092333,12483.0
LC08_222080_20150608_29,18138,33.70777,30.092333,17150.0
LC08_222080_20150608_30,19144,33.70777,30.092333,17920.0
LC08_222080_20150608_31,24319,33.70777,30.092333,22716.0
LC08_222080_20150608_32,12533,33.70777,30.092333,12661.0
LC08_222080_20150608_33,15134,33.70777,30.092333,14790.0
LC08_222080_20150608_34,15809,33.70777,30.092333,15090.0
LC08_222080_20150608_35,29388,33.70777,30.092333,29131.0
LC08_222080_20150608_36,15482,33.70777,30.092333,15278.0
LC08_222080_20150608_37,13639,33.70777,30.092333,13833.0
LC08_222080_20150608_38,18744,33.70777,30.092333,19860.0
LC08_222080_20150608_39,18790,33.70777,30.092333,18426.0
LC08_222080_20150608_40,19544,33.70777,30.092333,18432.0
LC08_222080_20150608_41,17283,33.70777,30.092333,17463.0
LC08_222080_20150608_42,19982,33.70777,30.092333,19609.0
LC08_222080_20150608_43,18370,33.70777,30.092333,18274.0
LC08_222080_20150608_44,17880,33.70777,30.092333,18492.0
LC08_222080_20150608_45,11052,33.70777,30.092333,10929.0
LC08_222080_20150608_46,21148,33.70777,30.092333,20959.0
LC08_222080_20150608_47,18727,33.70777,30.092333,18783.0
LC08_222080_20150608_48,14318,33.70777,30.092333,14626.0
LC08_222080_20150608_49,15821,33.70777,30.092333,16003.0
LC08_222080_20150608_50,15789,33.70777,30.092333,16162.0
LC08_222080_20150608_51,18578,33.70777,30.092333,18630.0
LC08_222080_20150608_52,21091,33.70777,30.092333,20372.0
